Solution,Judgment Set Used,Result Set Size,Recall (Pct),Precision (Pct),R Precision (Pct),Unjudged (Pct)
CLEAR-BASE-TEST,REQUEST RELEVANT,10,NaN,22.86,NaN,45.71
CLEAR-BASE-TEST,TASK OR REQUEST RELEVANT,10,NaN,41.43,NaN,45.71
CLEAR-2-TEST,REQUEST RELEVANT,10,NaN,24.29,NaN,42.86
CLEAR-2-TEST,TASK OR REQUEST RELEVANT,10,NaN,52.86,NaN,42.86
CLEAR-1-TEST,REQUEST RELEVANT,10,NaN,30.00,NaN,44.29
CLEAR-1-TEST,TASK OR REQUEST RELEVANT,10,NaN,50.00,NaN,44.29
CLEAR-3-TEST,REQUEST RELEVANT,10,NaN,32.86,NaN,44.29
CLEAR-3-TEST,TASK OR REQUEST RELEVANT,10,NaN,50.00,NaN,44.29
CLEAR-4-TEST,REQUEST RELEVANT,10,NaN,35.71,NaN,42.86
CLEAR-4-TEST,TASK OR REQUEST RELEVANT,10,NaN,48.57,NaN,42.86
CLEAR-5-TEST,REQUEST RELEVANT,10,NaN,38.57,NaN,42.86
CLEAR-5-TEST,TASK OR REQUEST RELEVANT,10,NaN,52.86,NaN,42.86
CLEAR-6-TEST,REQUEST RELEVANT,10,NaN,35.71,NaN,42.86
CLEAR-6-TEST,TASK OR REQUEST RELEVANT,10,NaN,51.43,NaN,42.86
CLEAR-7-TEST,REQUEST RELEVANT,10,NaN,41.43,NaN,50.00
CLEAR-7-TEST,TASK OR REQUEST RELEVANT,10,NaN,47.14,NaN,50.00
CLEAR-8-TEST,REQUEST RELEVANT,10,NaN,30.00,NaN,61.43
CLEAR-8-TEST,TASK OR REQUEST RELEVANT,10,NaN,37.14,NaN,61.43
BBN-1,REQUEST RELEVANT,10,NaN,34.29,NaN,42.86
BBN-1,TASK OR REQUEST RELEVANT,10,NaN,47.14,NaN,42.86
JHU-1,REQUEST RELEVANT,10,NaN,15.71,NaN,42.86
JHU-1,TASK OR REQUEST RELEVANT,10,NaN,42.86,NaN,42.86
BROWN-1,REQUEST RELEVANT,10,NaN,0.00,NaN,42.86
BROWN-1,TASK OR REQUEST RELEVANT,10,NaN,0.00,NaN,42.86
CLEAR-BASE-TEST,REQUEST RELEVANT,20,NaN,17.86,NaN,50.00
CLEAR-BASE-TEST,TASK OR REQUEST RELEVANT,20,NaN,37.86,NaN,50.00
CLEAR-2-TEST,REQUEST RELEVANT,20,NaN,22.86,NaN,42.86
CLEAR-2-TEST,TASK OR REQUEST RELEVANT,20,NaN,48.57,NaN,42.86
CLEAR-1-TEST,REQUEST RELEVANT,20,NaN,27.14,NaN,43.57
CLEAR-1-TEST,TASK OR REQUEST RELEVANT,20,NaN,47.14,NaN,43.57
CLEAR-3-TEST,REQUEST RELEVANT,20,NaN,30.71,NaN,47.14
CLEAR-3-TEST,TASK OR REQUEST RELEVANT,20,NaN,47.14,NaN,47.14
CLEAR-4-TEST,REQUEST RELEVANT,20,NaN,30.71,NaN,42.86
CLEAR-4-TEST,TASK OR REQUEST RELEVANT,20,NaN,50.00,NaN,42.86
CLEAR-5-TEST,REQUEST RELEVANT,20,NaN,31.43,NaN,44.29
CLEAR-5-TEST,TASK OR REQUEST RELEVANT,20,NaN,50.00,NaN,44.29
CLEAR-6-TEST,REQUEST RELEVANT,20,NaN,32.14,NaN,42.86
CLEAR-6-TEST,TASK OR REQUEST RELEVANT,20,NaN,50.00,NaN,42.86
CLEAR-7-TEST,REQUEST RELEVANT,20,NaN,30.00,NaN,57.86
CLEAR-7-TEST,TASK OR REQUEST RELEVANT,20,NaN,38.57,NaN,57.86
CLEAR-8-TEST,REQUEST RELEVANT,20,NaN,23.57,NaN,65.00
CLEAR-8-TEST,TASK OR REQUEST RELEVANT,20,NaN,32.14,NaN,65.00
BBN-1,REQUEST RELEVANT,20,NaN,25.71,NaN,42.86
BBN-1,TASK OR REQUEST RELEVANT,20,NaN,38.57,NaN,42.86
JHU-1,REQUEST RELEVANT,20,NaN,14.29,NaN,42.86
JHU-1,TASK OR REQUEST RELEVANT,20,NaN,41.43,NaN,42.86
BROWN-1,REQUEST RELEVANT,20,NaN,0.00,NaN,44.29
BROWN-1,TASK OR REQUEST RELEVANT,20,NaN,0.00,NaN,44.29
CLEAR-BASE-TEST,REQUEST RELEVANT,50,NaN,14.57,NaN,58.29
CLEAR-BASE-TEST,TASK OR REQUEST RELEVANT,50,NaN,31.14,NaN,58.29
CLEAR-2-TEST,REQUEST RELEVANT,50,NaN,19.14,NaN,48.86
CLEAR-2-TEST,TASK OR REQUEST RELEVANT,50,NaN,38.00,NaN,48.86
CLEAR-1-TEST,REQUEST RELEVANT,50,NaN,19.43,NaN,53.43
CLEAR-1-TEST,TASK OR REQUEST RELEVANT,50,NaN,35.43,NaN,53.43
CLEAR-3-TEST,REQUEST RELEVANT,50,NaN,20.86,NaN,56.00
CLEAR-3-TEST,TASK OR REQUEST RELEVANT,50,NaN,35.71,NaN,56.00
CLEAR-4-TEST,REQUEST RELEVANT,50,NaN,21.71,NaN,53.43
CLEAR-4-TEST,TASK OR REQUEST RELEVANT,50,NaN,37.43,NaN,53.43
CLEAR-5-TEST,REQUEST RELEVANT,50,NaN,22.00,NaN,53.71
CLEAR-5-TEST,TASK OR REQUEST RELEVANT,50,NaN,36.57,NaN,53.71
CLEAR-6-TEST,REQUEST RELEVANT,50,NaN,22.86,NaN,52.00
CLEAR-6-TEST,TASK OR REQUEST RELEVANT,50,NaN,38.29,NaN,52.00
CLEAR-7-TEST,REQUEST RELEVANT,50,NaN,18.29,NaN,67.14
CLEAR-7-TEST,TASK OR REQUEST RELEVANT,50,NaN,28.57,NaN,67.14
CLEAR-8-TEST,REQUEST RELEVANT,50,NaN,16.00,NaN,68.86
CLEAR-8-TEST,TASK OR REQUEST RELEVANT,50,NaN,25.71,NaN,68.86
BBN-1,REQUEST RELEVANT,50,NaN,17.14,NaN,56.57
BBN-1,TASK OR REQUEST RELEVANT,50,NaN,28.86,NaN,56.57
JHU-1,REQUEST RELEVANT,50,NaN,12.57,NaN,52.86
JHU-1,TASK OR REQUEST RELEVANT,50,NaN,32.57,NaN,52.86
BROWN-1,REQUEST RELEVANT,50,NaN,0.00,NaN,67.43
BROWN-1,TASK OR REQUEST RELEVANT,50,NaN,0.00,NaN,67.43
CLEAR-BASE-TEST,REQUEST RELEVANT,100,NaN,12.86,NaN,67.57
CLEAR-BASE-TEST,TASK OR REQUEST RELEVANT,100,NaN,24.86,NaN,67.57
CLEAR-2-TEST,REQUEST RELEVANT,100,NaN,12.71,NaN,65.14
CLEAR-2-TEST,TASK OR REQUEST RELEVANT,100,NaN,25.57,NaN,65.14
CLEAR-1-TEST,REQUEST RELEVANT,100,NaN,13.29,NaN,64.00
CLEAR-1-TEST,TASK OR REQUEST RELEVANT,100,NaN,26.71,NaN,64.00
CLEAR-3-TEST,REQUEST RELEVANT,100,NaN,13.86,NaN,66.71
CLEAR-3-TEST,TASK OR REQUEST RELEVANT,100,NaN,26.00,NaN,66.71
CLEAR-4-TEST,REQUEST RELEVANT,100,NaN,13.71,NaN,66.29
CLEAR-4-TEST,TASK OR REQUEST RELEVANT,100,NaN,26.43,NaN,66.29
CLEAR-5-TEST,REQUEST RELEVANT,100,NaN,13.71,NaN,66.71
CLEAR-5-TEST,TASK OR REQUEST RELEVANT,100,NaN,26.43,NaN,66.71
CLEAR-6-TEST,REQUEST RELEVANT,100,NaN,14.14,NaN,66.14
CLEAR-6-TEST,TASK OR REQUEST RELEVANT,100,NaN,26.86,NaN,66.14
CLEAR-7-TEST,REQUEST RELEVANT,100,NaN,12.43,NaN,73.00
CLEAR-7-TEST,TASK OR REQUEST RELEVANT,100,NaN,21.57,NaN,73.00
CLEAR-8-TEST,REQUEST RELEVANT,100,NaN,11.14,NaN,76.57
CLEAR-8-TEST,TASK OR REQUEST RELEVANT,100,NaN,18.86,NaN,76.57
BBN-1,REQUEST RELEVANT,100,NaN,11.86,NaN,72.14
BBN-1,TASK OR REQUEST RELEVANT,100,NaN,19.71,NaN,72.14
JHU-1,REQUEST RELEVANT,100,NaN,9.29,NaN,68.14
JHU-1,TASK OR REQUEST RELEVANT,100,NaN,21.57,NaN,68.14
BROWN-1,REQUEST RELEVANT,100,NaN,0.00,NaN,83.57
BROWN-1,TASK OR REQUEST RELEVANT,100,NaN,0.00,NaN,83.57
CLEAR-BASE-TEST,REQUEST RELEVANT,250,NaN,6.74,NaN,81.66
CLEAR-BASE-TEST,TASK OR REQUEST RELEVANT,250,NaN,13.37,NaN,81.66
CLEAR-2-TEST,REQUEST RELEVANT,250,NaN,6.74,NaN,80.74
CLEAR-2-TEST,TASK OR REQUEST RELEVANT,250,NaN,13.31,NaN,80.74
CLEAR-1-TEST,REQUEST RELEVANT,250,NaN,7.26,NaN,79.60
CLEAR-1-TEST,TASK OR REQUEST RELEVANT,250,NaN,14.40,NaN,79.60
CLEAR-3-TEST,REQUEST RELEVANT,250,NaN,7.20,NaN,81.20
CLEAR-3-TEST,TASK OR REQUEST RELEVANT,250,NaN,14.23,NaN,81.20
CLEAR-4-TEST,REQUEST RELEVANT,250,NaN,7.31,NaN,80.91
CLEAR-4-TEST,TASK OR REQUEST RELEVANT,250,NaN,14.29,NaN,80.91
CLEAR-5-TEST,REQUEST RELEVANT,250,NaN,7.31,NaN,80.69
CLEAR-5-TEST,TASK OR REQUEST RELEVANT,250,NaN,14.34,NaN,80.69
CLEAR-6-TEST,REQUEST RELEVANT,250,NaN,7.31,NaN,80.51
CLEAR-6-TEST,TASK OR REQUEST RELEVANT,250,NaN,14.57,NaN,80.51
CLEAR-7-TEST,REQUEST RELEVANT,250,NaN,6.51,NaN,84.06
CLEAR-7-TEST,TASK OR REQUEST RELEVANT,250,NaN,12.11,NaN,84.06
CLEAR-8-TEST,REQUEST RELEVANT,250,NaN,5.26,NaN,86.46
CLEAR-8-TEST,TASK OR REQUEST RELEVANT,250,NaN,9.83,NaN,86.46
BBN-1,REQUEST RELEVANT,250,NaN,5.54,NaN,85.03
BBN-1,TASK OR REQUEST RELEVANT,250,NaN,10.80,NaN,85.03
JHU-1,REQUEST RELEVANT,250,NaN,6.29,NaN,81.26
JHU-1,TASK OR REQUEST RELEVANT,250,NaN,12.91,NaN,81.26
BROWN-1,REQUEST RELEVANT,250,NaN,0.00,NaN,93.14
BROWN-1,TASK OR REQUEST RELEVANT,250,NaN,0.00,NaN,93.14
CLEAR-BASE-TEST,REQUEST RELEVANT,500,NaN,3.80,NaN,89.03
CLEAR-BASE-TEST,TASK OR REQUEST RELEVANT,500,NaN,7.63,NaN,89.03
CLEAR-2-TEST,REQUEST RELEVANT,500,NaN,3.80,NaN,89.20
CLEAR-2-TEST,TASK OR REQUEST RELEVANT,500,NaN,7.46,NaN,89.20
CLEAR-1-TEST,REQUEST RELEVANT,500,NaN,3.83,NaN,88.49
CLEAR-1-TEST,TASK OR REQUEST RELEVANT,500,NaN,7.80,NaN,88.49
CLEAR-3-TEST,REQUEST RELEVANT,500,NaN,3.83,NaN,89.00
CLEAR-3-TEST,TASK OR REQUEST RELEVANT,500,NaN,7.71,NaN,89.00
CLEAR-4-TEST,REQUEST RELEVANT,500,NaN,3.86,NaN,88.69
CLEAR-4-TEST,TASK OR REQUEST RELEVANT,500,NaN,7.80,NaN,88.69
CLEAR-5-TEST,REQUEST RELEVANT,500,NaN,3.86,NaN,88.69
CLEAR-5-TEST,TASK OR REQUEST RELEVANT,500,NaN,7.77,NaN,88.69
CLEAR-6-TEST,REQUEST RELEVANT,500,NaN,3.86,NaN,88.74
CLEAR-6-TEST,TASK OR REQUEST RELEVANT,500,NaN,7.80,NaN,88.74
CLEAR-7-TEST,REQUEST RELEVANT,500,NaN,3.51,NaN,90.29
CLEAR-7-TEST,TASK OR REQUEST RELEVANT,500,NaN,7.00,NaN,90.29
CLEAR-8-TEST,REQUEST RELEVANT,500,NaN,3.20,NaN,91.57
CLEAR-8-TEST,TASK OR REQUEST RELEVANT,500,NaN,6.03,NaN,91.57
BBN-1,REQUEST RELEVANT,500,NaN,3.09,NaN,91.00
BBN-1,TASK OR REQUEST RELEVANT,500,NaN,6.31,NaN,91.00
JHU-1,REQUEST RELEVANT,500,NaN,3.63,NaN,89.00
JHU-1,TASK OR REQUEST RELEVANT,500,NaN,7.43,NaN,89.00
BROWN-1,REQUEST RELEVANT,500,NaN,0.00,NaN,96.40
BROWN-1,TASK OR REQUEST RELEVANT,500,NaN,0.00,NaN,96.40
CLEAR-BASE-TEST,REQUEST RELEVANT,1000,NaN,1.94,NaN,94.01
CLEAR-BASE-TEST,TASK OR REQUEST RELEVANT,1000,NaN,3.99,NaN,94.01
CLEAR-2-TEST,REQUEST RELEVANT,1000,NaN,1.94,NaN,94.19
CLEAR-2-TEST,TASK OR REQUEST RELEVANT,1000,NaN,3.89,NaN,94.19
CLEAR-1-TEST,REQUEST RELEVANT,1000,NaN,1.94,NaN,93.96
CLEAR-1-TEST,TASK OR REQUEST RELEVANT,1000,NaN,4.00,NaN,93.96
CLEAR-3-TEST,REQUEST RELEVANT,1000,NaN,1.94,NaN,94.03
CLEAR-3-TEST,TASK OR REQUEST RELEVANT,1000,NaN,4.00,NaN,94.03
CLEAR-4-TEST,REQUEST RELEVANT,1000,NaN,1.94,NaN,94.01
CLEAR-4-TEST,TASK OR REQUEST RELEVANT,1000,NaN,4.01,NaN,94.01
CLEAR-5-TEST,REQUEST RELEVANT,1000,NaN,1.94,NaN,94.00
CLEAR-5-TEST,TASK OR REQUEST RELEVANT,1000,NaN,4.00,NaN,94.00
CLEAR-6-TEST,REQUEST RELEVANT,1000,NaN,1.94,NaN,93.97
CLEAR-6-TEST,TASK OR REQUEST RELEVANT,1000,NaN,4.00,NaN,93.97
CLEAR-7-TEST,REQUEST RELEVANT,1000,NaN,1.89,NaN,94.49
CLEAR-7-TEST,TASK OR REQUEST RELEVANT,1000,NaN,3.83,NaN,94.49
CLEAR-8-TEST,REQUEST RELEVANT,1000,NaN,1.77,NaN,95.17
CLEAR-8-TEST,TASK OR REQUEST RELEVANT,1000,NaN,3.37,NaN,95.17
BBN-1,REQUEST RELEVANT,1000,NaN,1.74,NaN,94.71
BBN-1,TASK OR REQUEST RELEVANT,1000,NaN,3.54,NaN,94.71
JHU-1,REQUEST RELEVANT,1000,NaN,1.91,NaN,93.97
JHU-1,TASK OR REQUEST RELEVANT,1000,NaN,3.96,NaN,93.97
BROWN-1,REQUEST RELEVANT,1000,NaN,0.00,NaN,98.03
BROWN-1,TASK OR REQUEST RELEVANT,1000,NaN,0.00,NaN,98.03
